brand,name,old_price_reais,new_price_reais,old_price_centavos,new_price_centavos,rating,reviews
ULTRABONE,Tênis Unissex Academia Leve Macio Basico Caminhada Fitness ,63,60,99,79,4.5,(11)
ON RUNNING,Tênis On Running Cloudgo Shale,699,69,90,99,5.0,(2)
NEW BALANCE,Tênis Clássico New Balance 997s Sport Têxtil Importado ,219,21,99,38,4.6,(62)
MIZUNO,Kit 1 Tênis De Corrida Masculino Mizuno Cool Ride E 3 Pares ,199,33,99,33,,
RAINHA,Tênis Esportivo Masculino Rainha Drive Iii ,179,170,90,90,4.3,(7)
LORENZZO LOPEZ,Tênis Masculino Para Academia E Corrida Super Macio E Leve,39,13,90,30,4.4,(27)
VIA LIVRE,Tênis Masculino Run Fit Academia Corrida Macio Cortável,99,33,99,33,,
ASCENSION,Tenis Ortopedico Masculino Corrida Caminhada Academia Treino,109,36,90,63,4.4,(336)
OLYMP,Tênis Lançamento Kit 2 Pares Mega Olymp Promoção Sport#,143,35,90,98,4.4,(176)
REEBOK,Tênis Reebok Nfx Trainer Masculino,499,49,90,99,4.8,(27)
NEW BALANCE,New Balance Fresh Foam X 1080 V12 Masculino Adultos,999,739,90,92,5.0,(7)
OLYMPIKUS,Tênis Olympikus Estilo 2 Preto,209,34,90,98,4.7,(18)
ADAPTION,Tenis Masculino Academia Caminhada Corrida Adaption Extreme,59,5,90,82,4.0,(23)
DM DAMANDO,Tênis Masculino Conforto Passeio/esporte + Relógio,77,25,90,97,4.3,(122)
ADIDAS,Tênis adidas Response Super Verde,599,59,90,99,,
FILA,Fila Racer Carbon 2 Masculino Adultos,1.097,109,79,,5.0,(5)
ADAPTION,Kit 2 Pares De Tenis Masculino Adaption Academia Limited ,129,12,90,63,4.1,(275)
OLYMPIKUS,Tênis Masculino E Feminino Reverso 2 Olympikus,379,279,99,99,4.7,(627)
LORENZZO LOPEZ,Tênis Masculino Para Academia E Corrida Super Macio E Leve,39,13,90,30,4.4,(27)
OLYMPIKUS,Tênis Olympikus Corre 3 Verde Azul E Rosa,499,50,99,,5.0,(69)
OLDSEN,Tenis Unissex Infantil Jaguar Corrida Academia Treino 34-43,49,4,90,84,4.7,(77)
ASCENSION,Tênis Masculino Ortopédico Caminhada Treino Calce Facil,99,94,90,90,4.6,(43)
OLYMPIKUS,Tênis Para Corrida Ou Caminhada Olympikus Asfalto,259,32,90,49,,
OLYMPIKUS,Oferta Olympikus Perfect 3 Preto /petala Lucaisane Tênis,199,19,99,44,5.0,(16)
DM DAMANDO,Tenis Masculino Para Sport Treino Academia Ultra Leve ,84,28,90,30,4.7,(40)
OLYMPIKUS,Tênis Olympikus Clic Masculino Preto,249,31,12,,,
OLYMPIKUS,Tenis Masculino Olympikus Urano 2 Academia Corrida Original,184,17,88,,5.0,(1)
SPARK,Tênis Spark Jogging Exercícios Never Give Cadarço Masculino ,139,13,90,60,,
ULTRABONE,Tênis Fitness Esportivo Para Treino Academia Corrida Barato,78,64,90,69,4.2,(5)
ON RUNNING,Tênis On Running The Roger Pro Masculino,1.249,124,99,,,
ASICS,Asics Shinobi Masculino Adultos,388,37,90,70,4.8,(40)
OLYMPIKUS,Tênis Olympikus Vertical Masculino,265,33,90,24,4.5,(6)
