brand,name,rating,reviews,_source,_data_coleta,old_price,new_price
OLYMPIKUS,Olympikus Ultraleve 130g Feminino Adultos,4.8,4281,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,208.22,20.0
UNDER ARMOUR,Tênis De Corrida Masculino Under Armour *oferta*,4.8,116,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,279.99,31.11
OLDSEN,Tênis Masculino Academia Esportivo Caminhada Academia ,4.2,240,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,78.9,74.95
TAYGRA,Tenis Taygra,5.0,6,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,179.9,35.98
ASCENSION,Tenis Masculino Feminino Ortopedico Crossfit Original ,4.6,74,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,69.99,57.54
NEW BALANCE,Tênis New Balance 997s Sport Masculino Adulto - Exclusivos,5.0,3,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,213.99,30.57
HAYMAX,Tênis Skatista Masculino Feminino Old School Envio Imediato,4.5,908,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,99.99,9.72
VIA LIVRE,Tênis Masculino Esportivo Academia Treino Corrida Sola Eva,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,199.79,33.3
OLYMPIKUS,Tênis Olympikus Chroma Masculino Preto Academia Caminhada,4.7,36,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,251.24,185.92
LYND,Tênis Masculino Corrida Academia Caminhada Lynd- Grid 321,4.7,521,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,199.9,179.91
OLYMPIKUS,Olympikus Zex Masculino Adultos,4.7,622,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,229.1,206.03
FILA,Tênis Fila Racer Gripper Masculino Corrida - Caminhada,4.8,24,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-08-24 17:26:52.174928,288.78,32.09
